Código Soporte;Código Elemento;Empresa;Nombre Comercial Tecnología;Dirección;Localidad;Comuna;Región;Tipo Documento Autorizatorio;Nro. Documento;Fecha Documento;Tipo Soporte;Altura;Frecuencia;Banda;Ancho Banda;Tecnología;Tipo Acceso;Latitud;Longitud;x;y
"17.809";"603.553";CLARO CHILE SPA.;;Prolongación Martinez de Aldunate, parcela 32  S/N;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;2004;22/10/2021;Torre Auto Soportada;"30";"2600";UHF;40000;LTE(4G);FDD;53° 10´ 37´´;70° 56´ 52´´;"-70,948";"-53,177"
"29.220";"616.451";WILL;4G;Calle San Martin frente al 820;;Natales;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;577;18/03/2021;Poste de Concreto;"1";"2600";UHF;40000;LTE(4G);FDD;51° 44´ 15.31´´;72° 29´ 16.97´´;"-72,488";"-51,738"
"17.761";"626.616";Wom;5G;Av. San Martin, Mirador Porvenir, Porvenir, Magallanes Y La Antártica Chilena;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;32;11/03/2021;Torre Auto Soportada;"60";"2100";UHF;30000;LTE Advanced Pro(5G);OFDMA;53° 18´ 36´´;70° 22´ 38´´;"-70,377";"-53,31"
"14.966";"628.282";ENTEL TELEFONIA LOCAL S.A.;5G;HIJUELA 14 - CERRO DOROTEA - PROV. ULTIMA ESPERANZA, COMUNA DE NATALES, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Torre Ventada;"30";"3500";SHF;50000;5G(5G);OFDMA;51° 40´ 49´´;72° 26´ 16´´;"-72,438";"-51,68"
"27.358";"630.161";Wom;5G;Pedro Aguirre Cerda N° 413, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;24/05/2021;Azotea;"3";"3500";SHF;50000;5G(5G);OFDMA;53° 10´ 19.19´´;70° 56´ 38.7´´;"-70,944";"-53,172"
"14.932";"633.233";WILL;3G/5G;"Km.  8,5  Ruta  9
Norte N° 09606";;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Torre Ventada;"60";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;53° 5´ 16´´;70° 52´ 58´´;"-70,883";"-53,088"
"14.933";"633.234";WILL;3G/5G;Parcela    N°    4, Mirador del Sur;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Torre Ventada;"30";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;53° 8´ 30´´;70° 57´ 17´´;"-70,955";"-53,142"
"20.347";"637.294";TELEFÓNICA MÓVILES CHILE S.A.;4G;DAMIAN RIOBO 164;;Porvenir;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1529;18/05/2022;Torre Auto Soportada;"22";"2600";UHF;40000;LTE(4G);OFDMA;53° 17´ 59.9´´;70° 21´ 56´´;"-70,366";"-53,3"
"22.450";"637.529";TELEFÓNICA MÓVILES CHILE S.A.;4G;RUTA Y-50 ESTANCIA EL SALTO 1;;Río Verde;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1567;19/05/2022;Torre Ventada;"42";"700";UHF;10000;LTE(4G);OFDMA;52° 33´ 13.1´´;71° 39´ 16.5´´;"-71,655";"-52,554"
"32.106";"651.989";WILL;4G;Carlos Briones, esquina Jose Mendez;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;3453;25/10/2022;Azotea;"40";"2600";UHF;40000;LTE(4G);OFDMA;53° 9´ 40.5´´;70° 54´ 25.400000000000002´´;"-70,907";"-53,161"
